發生時間,發生地點,死亡人數,車種
107年1月1日 5時12分秒,彰化縣大村鄉貢旗村田洋巷7號前.公尺東側,1,自用-小客車腳踏自行車-慢車
107年1月1日 14時55分秒,桃園市蘆竹區大竹北路418號前.公尺北側,1,普通輕型-機車
107年1月1日 17時1分13秒,苗栗縣竹南鎮中美里澎湖厝83號前,1,自用-小客車乘客-人乘客-人乘客-人
107年1月1日 17時3分2秒,南投縣集集鎮投54 6公里西向中內,1,普通重型-機車民營公車-大客車
107年1月1日 19時3分秒,彰化縣和美鎮大霞里彰和路3段59號前.公尺前,1,自用-小客車行人-人自用-小客車
107年1月2日 9時51分秒,雲林縣虎尾鎮平和橋與防汛道路口,1,普通重型-機車自用-小客車
107年1月2日 1時分秒,桃園市中壢區中豐路北側 / 桃園市中壢區永嘉街,1,自用-小客車普通重型-機車乘客-人
107年1月2日 13時34分秒,新北市樹林區中正路 / 新北市樹林區三俊街,1,自用-大貨車普通重型-機車
107年1月2日 15時3分59秒,花蓮縣豐濱鄉台11線 67公里4.公尺處北,1,其他車-其他車
107年1月2日 16時1分秒,雲林縣元長鄉台19線元進莊路口,1,普通重型-機車民營客運-大客車
107年1月2日 16時1分秒,屏東縣新園鄉中慶巷,1,自用-全聯結車普通重型-機車乘客-人
107年1月2日 16時29分秒,臺中市東區旱溪里旱溪街前.公尺,1,普通重型-機車普通重型-機車
107年1月2日 19時55分秒,基隆市七堵區工建路184號前.公尺,1,自用-小客車普通重型-機車自用-小貨車(含客、貨兩用)自用-小客車
107年1月3日 14時47分秒,臺北市中山區民權東路2段 / 臺北市中山區松江路,1,民營公車-大客車行人-人
107年1月3日 16時1分秒,新北市新店區北宜路前.公尺,1,普通重型-機車自用-小客車
107年1月4日 6時4分秒,苗栗縣苗栗市嘉盛里經國路三段與育英街53巷路口,1,腳踏自行車-慢車自用-小客車
107年1月4日 8時58分秒,高雄市左營區新庄仔路46號前.公尺,1,普通重型-機車
107年1月4日 12時36分秒,彰化縣芳苑鄉頂廍村斗苑路頂廍段前.公尺,1,自用-小貨車(含客、貨兩用)普通重型-機車
107年1月4日 15時42分秒,臺南市永康區正強街西側 / 臺南市永康區正強街,1,腳踏自行車-慢車普通重型-機車
107年1月4日 19時42分47秒,臺南市仁德區上崙里義林南路東側 / 臺南市仁德區上崙里民安路,1,普通重型-機車自用-小貨車(含客、貨兩用)
107年1月5日 19時2分秒,屏東縣長治鄉台24線7號路燈前,1,自用-小客車腳踏自行車-慢車
107年1月5日 22時1分19秒,宜蘭縣礁溪鄉礁溪路2段柴圍橋,1,行人-人自用-小客車
107年1月6日 18時14分5秒,苗栗縣竹南鎮崎頂里西濱公路88.4公里往南快車道,1,普通重型-機車自用-小客車
107年1月7日 1時5分秒,高雄市大寮區鳳林三路637號前.公尺,1,普通重型-機車
107年1月7日 14時25分38秒,屏東縣內埔鄉昌南路(老埤幹TS36號電桿),1,普通重型-機車乘客-人
107年1月7日 16時34分秒,臺南市安平區永華路2段北側 / 臺南市安平區健康二街,1,普通輕型-機車自用-小客車乘客-人
107年1月7日 19時25分秒,澎湖縣湖西鄉縣22線 9公里55.公尺處東向外側,1,自用-小客車
107年1月8日 1時36分秒,屏東縣恆春鎮恆南路前.公尺,1,普通重型-機車
107年1月8日 7時9分51秒,花蓮縣壽豐鄉水璉村海岸公路前.公尺北側,1,自用-小客車
107年1月8日 7時47分31秒,嘉義縣民雄鄉平和村嘉76線4.1K,1,普通重型-機車自用-小客車
107年1月8日 11時分22秒,高雄市仁武區國道1號 3公里9.公尺處西向外側,1,營業用-半聯結車自用-小貨車(含客、貨兩用)自用-小客車營業用-半聯結車自用-小客車營業用-小貨車(含客、貨兩用)
107年1月8日 18時35分秒,臺南市安平區永華九街西側 / 臺南市安平區建平七街,1,普通輕型-機車自用-小客車
107年1月8日 22時39分秒,雲林縣斗六市石榴路與河南街口,1,自用-小客車
107年1月9日 時34分秒,彰化縣和美鎮好修里和港路784號前.公尺,2,自用-小客車電動自行車-慢車電動輔助自行車-慢車電動輔助自行車-慢車
107年1月9日 4時12分45秒,臺南市安定區國道1號 31公里北向中線,1,營業用-半聯結車自用-小貨車(含客、貨兩用)民營客運-大客車乘客-人乘客-人
107年1月9日 5時2分秒,臺北市信義區行人穿越道,1,自用-小貨車(含客、貨兩用)行人-人
107年1月9日 7時37分6秒,南投縣草屯鎮平林里健行路65巷29號前.公尺,1,自用-小貨車(含客、貨兩用)
107年1月9日 18時25分59秒,雲林縣北港鎮劉厝里民樂路397號前,1,自用-小貨車(含客、貨兩用)行人-人
107年1月9日 22時3分1秒,臺南市中西區府前路1段南側 / 臺南市中西區永福路1段,1,租賃車-小客車普通重型-機車
107年1月1日 時14分秒,金門縣金寧鄉桃園路138號路燈處號前.公尺,1,普通重型-機車自用-小客車乘客-人
107年1月1日 5時35分秒,雲林縣虎尾鎮穎川里頂南414號,1,自用-小客車
107年1月1日 13時2分秒,新北市三峽區復興路 / 新北市三峽區民生街,1,自用-小客車行人-人
107年1月1日 13時28分16秒,南投縣名間鄉南雲路 電線杆 名間幹253,1,自用-小客車
107年1月11日 6時11分秒,屏東縣屏東市和生路一段與歸仁路口,1,自用-大貨車普通重型-機車
107年1月11日 1時1分秒,屏東縣南州鄉台1線北向機慢車道424公里處,1,自用-小客車普通重型-機車
107年1月11日 11時3分秒,臺北市大安區信義路3段134巷前.公尺,1,租賃車-小客車行人-人
107年1月11日 16時分秒,高雄市三民區同盟二路215號號前.公尺前,1,自用-小貨車(含客、貨兩用)腳踏自行車-慢車
107年1月11日 17時5分秒,彰化縣彰化市延和里岸頭巷前.公尺,1,營業用-大貨車腳踏自行車-慢車自用-小貨車(含客、貨兩用)
107年1月12日 8時55分秒,高雄市鼓山區美術館路 / 高雄市鼓山區美術東四路,1,自用-小客車自用-小客車普通重型-機車
107年1月12日 9時32分秒,新北市瑞芳區明燈路2段 / 新北市瑞芳區逢甲路2段,1,民營客運-大客車普通重型-機車
107年1月12日 14時35分秒,臺中市豐原區豐圳里圓環西路前.公尺,1,普通重型-機車自用-小貨車(含客、貨兩用)
107年1月12日 17時2分23秒,屏東縣枋山鄉枋山村枋山路6號,1,自用-小客車
107年1月12日 2時分秒,屏東縣屏東市建國路241巷口,1,自用-小客車自用-小客車乘客-人乘客-人乘客-人
107年1月12日 2時56分秒,桃園市楊梅區楊明里新農街高公涵洞前,1,普通重型-機車營業用-大貨車
107年1月13日 時2分秒,屏東縣東港鎮光復路與新學路口,1,普通重型-機車
107年1月13日 3時分2秒,南投縣集集鎮台16線 5公里6.公尺處東向路肩,1,自用-小客車
107年1月13日 7時5分秒,雲林縣斗六市雲林路二段459-1號前,1,普通重型-機車自用-小客車乘客-人
107年1月13日 19時8分秒,屏東縣屏東市和平路南側 / 屏東縣屏東市建國路,1,自用-小客車普通重型-機車
107年1月14日 7時24分秒,彰化縣永靖鄉港西村永久路 / 彰化縣永靖鄉港西村中山路1段,1,普通重型-機車自用-小客車
107年1月14日 7時45分秒,彰化縣溪湖鎮東溪里員鹿路1段前.公尺,1,租賃車-小客車普通重型-機車
107年1月14日 1時37分秒,桃園市平鎮區中豐路西側 / 桃園市平鎮區中豐路,1,普通重型-機車自用-小客車自用-小客車自用-小客車
107年1月14日 14時3分11秒,臺南市仁德區保安里文賢路1段642號前.公尺,1,普通重型-機車
107年1月14日 15時58分秒,彰化縣永靖鄉五汴村中山路3段335號前.公尺,1,腳踏自行車-慢車自用-小客車
107年1月14日 17時15分8秒,苗栗縣造橋鄉龍昇村台一線與苗八線路口,1,大型重型2(25-55C.C.)-機車自用-小客車
107年1月14日 17時35分6秒,桃園市觀音區新坡里文林路5.5公里處,1,普通重型-機車
107年1月14日 18時42分29秒,新竹縣湖口鄉德興北路電桿(望間幹18支6BC417CD96)旁,1,自用-小客車行人-人
107年1月15日 7時35分秒,臺南市西港區營西里455號前,1,自用-大貨車普通重型-機車
107年1月15日 8時19分秒,彰化縣埤頭鄉和豐村斗苑東路129號前.公尺前,1,普通重型-機車普通重型-機車
107年1月15日 8時3分53秒,屏東縣內埔鄉屏光路295號,1,普通輕型-機車普通重型-機車自用-大貨車
107年1月15日 8時42分秒,高雄市楠梓區村大學東路 / 高雄市楠梓區大學二十六街,1,普通重型-機車普通重型-機車
107年1月15日 14時3分秒,高雄市仁武區仁雄路前.公尺,1,普通重型-機車自用-大貨車自用-小客車
107年1月15日 17時54分秒,高雄市楠梓區村軍校路931號前.公尺,1,普通重型-機車普通重型-機車自用-小客車
107年1月15日 17時54分4秒,臺東縣鹿野鄉台9線 355公里南向機、慢車道,1,普通重型-機車腳踏自行車-慢車腳踏自行車-慢車
107年1月15日 18時分3秒,臺南市中西區成功路西側 / 臺南市中西區海安路,1,行人-人普通重型-機車
107年1月15日 19時5分秒,彰化縣芳苑鄉三合村斗苑路三合段258號前.公尺,1,行人-人自用-小客車自用-小客車
107年1月16日 5時32分19秒,臺中市龍井區國道3號 183公里7.公尺處北向外側,1,自用-大貨車營業用-半聯結車自用-小客車自用-小客車自用-小貨車(含客、貨兩用)乘客-人乘客-人
107年1月16日 7時38分秒,高雄市仁武區村鳳仁路 / 高雄市仁武區永宏巷,1,營業用-曳引車普通重型-機車
107年1月16日 15時17分秒,高雄市小港區村高鳳路 / 高雄市小港區松興路,1,普通重型-機車普通重型-機車自用-半聯結車
107年1月16日 17時29分秒,臺中市東區東興里大智路前.公尺,1,普通重型-機車自用-小貨車(含客、貨兩用)
107年1月16日 22時25分秒,高雄市大寮區華中路 / 高雄市大寮區莒光三街,1,行人-人自用-小客車
107年1月17日 1時分秒,新北市五股區民義路前.公尺,1,營業用-大貨車乘客-人
107年1月17日 15時48分秒,屏東縣內埔鄉豐田村龍崗路226-1號旁,1,腳踏自行車-慢車自用-小客車
107年1月18日 5時58分4秒,桃園市蘆竹區富國路3段178號前.公尺南側,1,普通重型-機車營業用-曳引車
107年1月18日 6時21分秒,新北市板橋區LP-R3-C4號號誌桿旁,1,大型重型2(25-55C.C.)-機車行人-人
107年1月18日 7時18分秒,宜蘭縣五結鄉親河路1段前.公尺東側,1,自用-小客車普通重型-機車
107年1月18日 18時2分4秒,臺南市南區新建路西側 / 臺南市南區新建路,1,自用-小貨車(含客、貨兩用)行人-人
107年1月18日 19時18分28秒,新竹縣湖口鄉榮光路東側 / 新竹縣湖口鄉廬江路,1,普通重型-機車自用-大貨車
107年1月18日 19時38分秒,彰化縣北斗鎮大道里中山路2段 / 彰化縣北斗鎮大道里復興路,1,自用-曳引車行人-人
107年1月18日 23時48分秒,臺北市中正區公園路 / 臺北市中正區信陽街,1,行人-人自用-小客車自用-小客車
107年1月19日 時13分秒,臺中市太平區光明里環太東路251號前.公尺,1,普通重型-機車自用-小貨車(含客、貨兩用)
107年1月19日 7時8分秒,嘉義市東區中庄里忠孝路 / 嘉義市東區中庄里義教街,1,自用-小貨車(含客、貨兩用)普通重型-機車
107年1月19日 7時3分1秒,臺南市東區生產路68號,1,普通重型-機車
107年1月19日 8時35分秒,高雄市新興區村中正三路5號前.公尺,1,普通重型-機車腳踏自行車-慢車
107年1月19日 8時5分秒,臺南市北區西門路3段北側 / 臺南市北區民德路,1,普通輕型-機車自用-小貨車(含客、貨兩用)
107年1月19日 2時4分秒,花蓮縣富里鄉學田村南興路西側 / 花蓮縣富里鄉學田村民權路,1,自用-小貨車(含客、貨兩用)
107年1月19日 23時25分16秒,屏東縣崁頂鄉中正路93號,1,普通重型-機車乘客-人
107年1月2日 2時43分秒,新北市土城區擺接堡路前.公尺,1,自用-小客車自用-小客車乘客-人
107年1月2日 15時1分秒,屏東縣東港鎮共和街59-6號,1,普通重型-機車
107年1月2日 22時3分秒,南投縣埔里鎮蜈蚣里鯉魚路21-3號東側,1,普通重型-機車
107年1月2日 22時34分秒,金門縣金城鎮民生路埔邊133號旁號前.公尺,1,自用-小客車行人-人行人-人
107年1月21日 5時5分38秒,臺南市南區健康路1段南側 / 臺南市南區慶中街,1,普通重型-機車自用-小客車
107年1月21日 8時12分秒,高雄市路竹區中山路1213號前.公尺前,1,普通重型-機車自用-小客車
107年1月21日 19時42分秒,臺中市北區五常里學士路前.公尺,1,自用-小客車普通重型-機車乘客-人乘客-人
107年1月21日 22時39分11秒,苗栗縣苑裡鎮泰田里苗45線與鎮安九路,1,普通重型-機車自用-小客車
107年1月22日 6時25分秒,屏東縣屏東市忠孝路246號對面,1,自用-小客車自用-小貨車(含客、貨兩用)乘客-人
107年1月23日 22時3分秒,苗栗縣卓蘭鎮苗14線26公里處(往三義方向),1,自用-小客車自用-小客車乘客-人
107年1月24日 17時25分秒,臺南市安南區台江大道5段西側 / 臺南市安南區北汕尾三路,1,電動自行車-慢車自用-小客車
107年1月25日 19時8分3秒,嘉義縣水上鄉龍德村十一指厝75之11號前,1,普通重型-機車普通重型-機車自用-小貨車(含客、貨兩用)
107年1月26日 8時37分秒,臺南市新化區全興里中山路台39線路口,1,普通重型-機車營業用-曳引車
107年1月26日 18時15分秒,嘉義縣民雄鄉秀林村林子尾2號前路口,1,自用-大貨車普通重型-機車自用-小客車
107年1月26日 2時6分秒,臺南市安南區安中路5段東側 / 臺南市安南區安中路5段,1,遊覽車-大客車大型重型2(25-55C.C.)-機車
107年1月27日 6時15分秒,臺中市大肚區蔗廍里遊園路二段前.公尺,1,普通重型-機車行人-人
107年1月27日 7時13分秒,臺東縣卑南鄉文泰路66號前.公尺,1,普通重型-機車乘客-人
107年1月27日 7時4分6秒,彰化縣溪湖鎮國道1號 212公里4.公尺處南向中線,1,自用-小客車自用-小客車乘客-人
107年1月28日 13時5分6秒,宜蘭縣員山鄉惠深一路南側 / 宜蘭縣員山鄉賢德路1段,1,自用-小客車自用-小客車腳踏自行車-慢車
107年1月28日 18時29分秒,彰化縣彰化市西興里彰草路 / 彰化縣彰化市西興里金馬路3段,1,自用-小客車普通重型-機車
107年1月28日 21時1分43秒,桃園市桃園區大有路899號前.公尺,1,普通重型-機車行人-人行人-人
107年1月29日 16時58分18秒,屏東縣潮州鎮光春路415號,1,自用-小貨車(含客、貨兩用)
107年1月29日 17時37分秒,高雄市岡山區介壽東路口 / 高雄市岡山區岡燕路口,1,普通重型-機車營業用-大貨車
107年1月29日 22時16分54秒,桃園市大園區國道2號 1公里西向交流道,1,自用-大貨車
107年1月29日 23時21分秒,雲林縣麥寮鄉後安村雲3線往北(燈桿編號1351),1,自用-小客車行人-人
107年1月3日 1時17分秒,桃園市八德區介壽路2段177號前.公尺,1,普通重型-機車行人-人
107年1月3日 2時35分秒,臺東縣臺東市桂林北路1831號路燈前,1,普通重型-機車自用-小貨車(含客、貨兩用)
107年1月3日 15時54分秒,臺中市北屯區平昌里北平路前.公尺,1,自用-小客車行人-人
107年1月31日 7時4分秒,高雄市前鎮區中安路前.公尺,1,普通重型-機車
107年1月31日 19時1分42秒,宜蘭縣三星鄉萬富村上將路五段北側 / 宜蘭縣三星鄉萬富村富貴一路,1,自用-小貨車(含客、貨兩用)普通重型-機車
107年1月31日 2時5分秒,新北市板橋區大漢橋路前.公尺,1,自用-小客車
107年2月1日 時55分秒,新北市板橋區臺65線道路前.公尺,1,自用-小客車
107年2月1日 1時28分秒,臺中市烏日區光明里五光路826號前.公尺,1,自用-小客車自用-小客車
107年2月1日 19時分秒,苗栗縣頭份市中正路642之1號前,1,自用-小客車行人-人
107年2月3日 7時29分秒,宜蘭縣礁溪鄉光武村武暖路77-6號,1,普通重型-機車
107年2月3日 19時13分37秒,臺南市安定區海寮里臺19線13.9km,1,普通重型-機車
107年2月4日 17時5分秒,臺南市左鎮區榮和里菜寮56號旁,1,自用-小客車乘客-人
107年2月5日 15時28分秒,雲林縣土庫鎮新庄里雲88線與雲13線路口,22,自用-小貨車(含客、貨兩用)自用-小貨車(含客、貨兩用)乘客-人乘客-人乘客-人乘客-人乘客-人乘客-人乘客-人乘客-人乘客-人乘客-人乘客-人乘客-人
107年2月5日 2時54分秒,桃園市新屋區台66線 7公里6.公尺處西向外側,1,自用-小客車自用-小客車自用-小客車
107年2月6日 7時3分秒,新北市新店區祥和路前.公尺,1,計程車-小客車乘客-人乘客-人
107年2月6日 13時12分秒,桃園市蘆竹區仁愛路三段高鐵橋下,1,腳踏自行車-慢車
107年2月6日 21時2分1秒,南投縣草屯鎮御史里登輝路212號對面,1,自用-大貨車普通重型-機車
107年2月6日 22時52分秒,彰化縣二林鎮廣興里廣興巷前.公尺,1,自用-小客車
107年2月7日 16時35分秒,臺南市安南區北安路4段東側 / 臺南市安南區工明路,1,自用-小客車普通重型-機車
107年2月7日 18時25分5秒,花蓮縣秀林鄉台9線 191公里7.公尺處南向外側,1,普通重型-機車自用-小貨車(含客、貨兩用)乘客-人
107年2月7日 21時22分5秒,高雄市旗山區國道1號 32公里4.公尺處東側向外側,1,自用-小客車
107年2月8日 18時14分秒,高雄市前鎮區村三多二路 / 高雄市前鎮區桂林街,1,營業用-大貨車普通重型-機車
107年2月9日 5時59分33秒,新竹縣關西鎮正義、北平路口,1,行人-人自用-小客車
107年2月9日 7時39分秒,彰化縣大村鄉村上村中正西路62號前.公尺,1,營業用-大貨車普通重型-機車
107年2月9日 15時分秒,高雄市六龜區旗六公路13K號前.公尺,1,自用-小客車乘客-人乘客-人乘客-人乘客-人
107年2月9日 16時4分秒,花蓮縣富里鄉台9線 34公里6.公尺處南,1,普通重型-機車營業用-半聯結車
107年2月1日 1時5分秒,臺南市中西區西門路2段北側 / 臺南市中西區民族路3段,1,腳踏自行車-慢車自用-小客車
107年2月1日 6時3分秒,臺南市佳里區蚶寮里南34線公路與南35線公路路口,1,普通重型-機車自用-小客車乘客-人
107年2月1日 7時分秒,高雄市前鎮區環區一路與南二路口,1,普通重型-機車普通重型-機車
107年2月1日 8時22分秒,彰化縣彰化市牛埔里彰興路2段 / 彰化縣彰化市牛埔里彰南路3段,1,普通重型-機車普通重型-機車
107年2月11日 3時27分秒,臺中市西區土庫里五權西路前.公尺,1,自用-小貨車(含客、貨兩用)行人-人
107年2月11日 5時15分43秒,宜蘭縣頭城鎮頂埔里頂埔路1段276號前.公尺東側,1,普通重型-機車行人-人
107年2月11日 23時55分2秒,臺南市白河區大竹里南89線4.6公里處,1,自用-小客車
107年2月12日 13時5分秒,臺南市安南區海佃路2段南側 / 臺南市安南區海東七街,1,普通重型-機車普通重型-機車
107年2月12日 2時13分秒,臺東縣大武鄉台9線 435公里7.公尺處北向路肩,1,普通重型-機車
107年2月13日 18時47分秒,屏東縣林邊鄉下庄57號前,1,行人-人自用-小客車
107年2月13日 22時35分秒,嘉義縣民雄鄉台1線 256公里7.公尺處南向外側,1,自用-小客車自用-小貨車(含客、貨兩用)乘客-人乘客-人乘客-人
107年2月14日 8時分秒,臺中市后里區廣福里三豐路三段前.公尺,1,普通重型-機車普通重型-機車自用-小貨車(含客、貨兩用)自用-小客車自用-小客車乘客-人
107年2月14日 1時8分秒,臺東縣成功鎮忠仁里中山東路與南側 / 臺東縣成功鎮忠仁里光復路,1,自用-小貨車(含客、貨兩用)行人-人
107年2月14日 14時2分秒,新竹市東區光復路二段316號前.公尺,1,自用-小貨車(含客、貨兩用)普通重型-機車
107年2月14日 21時47分秒,臺北市中山區民族東路129號前.公尺,1,自用-小貨車(含客、貨兩用)行人-人
107年2月15日 1時32分26秒,嘉義縣竹崎鄉灣橋村朴子埔185號,1,自用-小客車自用-小貨車(含客、貨兩用)
107年2月15日 23時3分秒,雲林縣土庫鎮越港里林森路與大同路,1,自用-小客車
107年2月16日 18時4分秒,屏東縣里港鄉新民路(大山寮高幹62左4),1,普通重型-機車
107年2月16日 19時34分秒,雲林縣褒忠鄉新湖村新湖路25號前,1,自用-小客車
107年2月16日 2時4分38秒,花蓮縣吉安鄉廣賢路2段61號前.公尺東側,1,自用-小客車普通重型-機車
107年2月16日 2時5分秒,基隆市暖暖區八堵路大華二橋,1,大型重型2(25-55C.C.)-機車
107年2月17日 時5分秒,臺南市南區樹林街2段西側 / 臺南市南區西門路1段,1,普通重型-機車普通重型-機車乘客-人
107年2月17日 14時41分17秒,新竹縣新豐鄉瑞興村9鄰167號附近,1,自用-小客車乘客-人乘客-人
107年2月17日 21時5分秒,臺中市豐原區社皮里豐原大道一段前.公尺,1,自用-小客車行人-人
107年2月18日 16時6分秒,新北市金山區臺2甲線道路前.公尺,1,自用-小客車自用-小客車乘客-人乘客-人乘客-人乘客-人乘客-人
107年2月19日 16時17分秒,桃園市大溪區員林路3段584號前.公尺,1,普通重型-機車乘客-人
107年2月19日 16時59分秒,新北市坪林區北宜公路前.公尺,1,大型重型2(25-55C.C.)-機車
107年2月19日 22時3分秒,雲林縣斗南鎮延平路二段31249號路燈附近,1,腳踏自行車-慢車自用-小客車
107年2月2日 4時9分秒,臺北市大安區市民大道4段前.公尺,1,普通重型-機車自用-小客車普通重型-機車普通重型-機車
107年2月2日 5時43分秒,屏東縣長治鄉台24線新榮3-16號前,1,普通重型-機車
107年2月2日 1時16分秒,新竹縣竹北市蓮花路75巷,1,普通重型-機車自用-小貨車(含客、貨兩用)
107年2月2日 16時24分秒,彰化縣二林鎮後厝里斗苑路3段321號前.公尺前,1,自用-小貨車(含客、貨兩用)自用-小客車
107年2月21日 時2分秒,嘉義縣東石鄉下揖村嘉7線9669號路燈桿前,1,自用-小客車
107年2月21日 15時25分16秒,嘉義縣民雄鄉東榮村文化路與進興街旁,1,普通重型-機車腳踏自行車-慢車
107年2月22日 9時3分24秒,嘉義縣太保市田尾里產業道路(溪南1之88號),1,普通重型-機車
107年2月22日 13時1分秒,屏東縣東港鎮中正路3段65號,1,普通重型-機車
107年2月23日 6時分秒,臺東縣海端鄉東7 7公里7.公尺處北向外側,1,普通重型-機車
107年2月23日 8時17分秒,高雄市岡山區成功路口 / 高雄市岡山區岡山路口,1,普通重型-機車營業用-大貨車
107年2月23日 16時分秒,臺中市東勢區下新里東蘭路78-6號前.公尺,1,自用-小客車行人-人自用-小客車自用-小客車
107年2月23日 18時34分秒,彰化縣秀水鄉鶴鳴村彰鹿路15號前.公尺前,1,自用-小客車行人-人
107年2月23日 23時59分18秒,桃園市大園區台61線 31公里6.公尺處南向內側,1,大型重型1(55C.C.以上)-機車
107年2月24日 1時16分秒,桃園市龜山區大湖路上警察大學後門附近,1,普通重型-機車
107年2月24日 4時45分2秒,南投縣中寮鄉內城村龍南路11-1號東側,1,自用-小貨車(含客、貨兩用)其他人-人
107年2月24日 12時2分秒,雲林縣斗南鎮新崙里產業道路斗南鎮115573號燈桿處路口,1,自用-小客車普通重型-機車
107年2月24日 12時44分59秒,桃園市復興區三民里11鄰水流東33號(O17228三民所),1,自用-小客車普通重型-機車自用-小客車
107年2月24日 15時14分56秒,屏東縣新園鄉塩光路12-7號,1,普通重型-機車乘客-人
107年2月24日 16時54分秒,新北市五股區疏洪一路前.公尺,1,普通重型-機車乘客-人
107年2月24日 17時5分57秒,臺南市永康區永大路1段北側 / 臺南市永康區大灣東路,1,民營公車-大客車普通重型-機車
107年2月25日 2時45分54秒,桃園市桃園區中山路219號,1,普通重型-機車自用-小客車
107年2月25日 13時分21秒,嘉義縣阿里山鄉十字村台18線8.3公里處,1,自用-小客車乘客-人
107年2月25日 16時34分秒,雲林縣元長鄉五塊村北水路29號旁路口,1,普通重型-機車自用-小客車
107年2月26日 11時18分2秒,屏東縣內埔鄉東勢村大同路4段(龍泉高幹78號電桿),1,普通重型-機車
107年2月26日 17時分秒,臺中市清水區臨江里臨港路七段前.公尺,1,自用-小客車普通輕型-機車
107年2月26日 18時29分1秒,苗栗縣通霄鎮坪頂里14鄰133-5號前,1,自用-小客車行人-人
107年2月27日 4時52分秒,臺中市北屯區平田里興安路一段前.公尺,1,自用-小貨車(含客、貨兩用)自用-小客車普通重型-機車自用-小客車乘客-人
107年2月27日 5時15分秒,高雄市燕巢區國道1號 14公里9.公尺處東向內側,1,自用-小客車
107年2月27日 16時46分秒,高雄市小港區村明聖街116號前.公尺前,1,普通重型-機車腳踏自行車-慢車
107年2月27日 18時45分秒,高雄市三民區陽明路口 / 高雄市三民區澄和路口,1,普通重型-機車普通重型-機車
107年2月28日 5時53分秒,臺北市萬華區西園路1段 / 臺北市萬華區和平西路3段,1,大型重型1(55C.C.以上)-機車行人-人
107年2月28日 13時7分秒,嘉義縣中埔鄉龍門村龍門24之2號,1,自用-小貨車(含客、貨兩用)
107年2月28日 16時1分秒,嘉義縣朴子市永和里台82線東西向快速道路8.7公里附近,1,自用-小貨車(含客、貨兩用)
107年3月1日 7時2分秒,臺南市仁德區中正路1段北側 / 臺南市仁德區二仁路1段,1,營業用-全聯結車腳踏自行車-慢車
107年3月1日 18時36分秒,桃園市桃園區富國路669號前.公尺西側,1,普通重型-機車營業用-曳引車
107年3月1日 2時4分31秒,彰化縣彰化市國道3號 23公里4.公尺處北向中線,1,自用-小客車自用-小客車其他人-人自用-小客車自用-小客車
107年3月2日 14時5分秒,花蓮縣壽豐鄉豐坪村豐坪路3段北側,1,自用-小貨車(含客、貨兩用)
107年3月2日 15時39分28秒,新竹縣竹北市中正西路1458號,1,普通重型-機車營業用-大貨車
107年3月2日 18時4分秒,南投縣名間鄉大坑村4鄰南田路217號前.公尺西側,1,普通重型-機車行人-人
107年3月3日 時44分秒,臺南市鹽水區後宅里南3線5公里1公尺處,1,普通重型-機車
